Date,Open,High,Low,Close,Volume,OpenInt
2001-11-15,8.3563,8.5635,8.2105,8.4555,34637380,0
2001-11-16,8.4136,8.4245,8.176,8.2298,26555073,0
2001-11-19,8.2298,8.3634,8.1535,8.2492,17908984,0
2001-11-20,8.2298,8.2298,7.9807,8.0193,17741009,0
2001-11-21,7.8468,7.9653,7.7129,7.8543,14420766,0
2001-11-23,7.9044,8.1038,7.901,8.0152,6647001,0
2001-11-26,8.0152,8.1535,8.0038,8.0882,19445139,0
2001-11-27,8.1535,8.1535,7.6548,7.7701,24793459,0
2001-11-28,7.7701,7.9807,7.7018,7.7201,15703249,0
2001-11-29,7.7701,8.2492,7.7467,8.1912,21157376,0
2001-11-30,8.1912,8.4597,8.1498,8.4173,29126559,0
2001-12-03,8.383,8.4173,8.2259,8.2259,25706532,0
2001-12-04,8.2674,8.6434,8.2602,8.6123,23117536,0
2001-12-05,8.6512,8.9377,8.6158,8.9255,30577280,0
2001-12-06,8.8041,9.0304,8.8041,8.9303,22338749,0
2001-12-07,8.9341,9.0343,8.7659,9.0032,19682357,0
2001-12-10,8.7659,9.2021,8.6695,8.8041,39725755,0
2001-12-11,8.7842,8.7998,8.3673,8.4173,29019189,0
2001-12-12,8.3716,8.44,8.1339,8.3482,29221395,0
2001-12-13,8.2337,8.2337,7.9807,8.0649,24099056,0
2001-12-14,7.9472,8.0387,7.8468,8.0387,21832967,0
2001-12-17,8.0387,8.1339,7.8468,7.9472,18430176,0
2001-12-18,7.9472,7.9807,7.7163,7.8468,25382848,0
2001-12-19,7.8125,7.9309,7.6905,7.9235,19315041,0
2001-12-20,7.8162,7.9235,7.7163,7.9235,22493672,0
2001-12-21,7.8854,8.1535,7.8504,8.0387,26168163,0
2001-12-24,8.0348,8.053,7.9273,7.9501,7357335,0
2001-12-26,7.8972,8.053,7.8663,8.0002,12305427,0
2001-12-27,8.0002,8.0307,7.9044,7.9616,11068400,0
2001-12-28,7.893,8.0193,7.8504,7.9692,14087673,0
2001-12-31,7.8277,8.0387,7.8277,7.8623,14572029,0
2002-01-02,7.8854,8.3215,7.8468,8.2873,15978349,0
2002-01-03,8.2298,8.7921,8.2298,8.7879,27769628,0
2002-01-04,8.7879,8.8649,8.5746,8.8649,18081678,0
2002-01-07,8.9377,9.087,8.6158,8.8112,18587716,0
2002-01-08,8.8041,8.8649,8.6512,8.7196,11775342,0
2002-01-09,8.7274,9.2315,8.7274,8.9797,32139559,0
2002-01-10,8.9797,8.9797,8.8077,8.9303,11745041,0
2002-01-11,8.9948,8.9948,8.6123,8.7584,13894347,0
2002-01-14,8.7619,8.8041,8.5772,8.6202,15496337,0
2002-01-15,8.7842,8.8425,8.6735,8.8345,21042691,0
2002-01-16,8.7659,8.7698,8.536,8.5817,20125436,0
2002-01-17,8.6883,9.0343,8.6084,9.007,24509737,0
2002-01-18,8.7659,8.8425,8.632,8.6546,16874690,0
2002-01-22,8.7196,8.7235,8.291,8.3482,14527883,0
2002-01-23,8.3482,8.5854,8.1535,8.4826,17993371,0
2002-01-24,8.5558,8.8497,8.5121,8.6621,20830292,0
2002-01-25,8.463,8.7196,8.383,8.6004,14895456,0
2002-01-28,8.5203,8.6123,8.3292,8.448,11105761,0
2002-01-29,8.5439,8.5746,8.0002,8.0152,19788419,0
2002-01-30,8.2259,8.4212,7.7321,8.4055,20908934,0
2002-01-31,8.4212,8.4747,8.176,8.463,21186636,0
2002-02-01,8.4017,8.5889,8.3482,8.4212,22222234,0
2002-02-04,8.7274,8.8193,8.2873,8.4364,30356532,0
2002-02-05,8.4212,8.4597,8.1836,8.1873,17061753,0
2002-02-06,8.3754,8.3754,7.9616,7.9807,28089397,0
2002-02-07,8.1725,8.1873,7.9501,7.9616,16081799,0
2002-02-08,7.9472,8.0193,7.621,7.809,25375793,0
2002-02-11,7.809,8.0002,7.7091,7.9807,13924655,0
2002-02-12,7.9428,8.0193,7.809,7.9501,17229468,0
2002-02-13,7.9501,8.1182,7.9079,8.0307,17070635,0
2002-02-14,8.0958,8.0958,7.9616,7.992,25039558,0
2002-02-15,8.0882,8.0882,7.7129,7.7931,24624436,0
2002-02-19,7.6977,7.8583,7.5596,7.5635,18043530,0
2002-02-20,7.6548,7.6704,7.3953,7.5867,13892780,0
2002-02-21,7.6177,7.6548,7.3953,7.4481,15041502,0
2002-02-22,7.3992,7.5181,7.2453,7.3839,15587254,0
2002-02-25,7.3877,7.6548,7.3877,7.6469,19806712,0
2002-02-26,7.809,7.9044,7.567,7.6587,25666824,0
2002-02-27,7.8049,7.8468,7.5981,7.6668,15618604,0
2002-02-28,7.809,7.809,7.6548,7.7018,20150772,0
2002-03-01,7.7053,7.8773,7.6364,7.7357,17747011,0
2002-03-04,7.809,8.1339,7.7701,7.8663,26608627,0
2002-03-05,7.9235,8.1725,7.8734,7.8854,35287368,0
2002-03-06,7.7852,7.8543,7.5944,7.7243,41993939,0
2002-03-07,7.7701,7.8277,7.5944,7.6548,43295485,0
2002-03-08,7.7321,8.0002,7.7129,7.8811,50287338,0
2002-03-11,7.8468,8.1226,7.8391,8.0307,29379447,0
2002-03-12,7.8663,7.9577,7.7701,7.8702,32320613,0
2002-03-13,7.8468,8.0152,7.6943,7.6977,46379813,0
2002-03-14,7.6977,7.7053,7.4185,7.4261,34201616,0
2002-03-15,7.5596,7.5749,7.2157,7.2925,42957948,0
2002-03-18,7.4261,7.7091,7.3376,7.3683,51796838,0
2002-03-19,7.5787,7.6548,7.0051,7.1961,91429587,0
2002-03-20,7.1081,7.1463,6.9661,6.9661,58849294,0
2002-03-21,6.9858,7.158,6.951,7.0817,38350011,0
2002-03-22,7.0621,7.0621,6.698,6.9471,51422988,0
2002-03-25,6.9471,7.0425,6.7981,6.9358,34926322,0
2002-03-26,6.8899,6.9899,6.8513,6.9209,23303026,0
2002-03-27,6.8553,6.9209,6.7251,6.8018,23304074,0
2002-03-28,6.7062,7.0242,6.7062,6.8673,51065081,0
2002-04-01,6.8513,6.9284,6.7518,6.8513,28835265,0
2002-04-02,6.8513,6.8513,6.6408,6.6796,26484268,0
2002-04-03,6.7295,6.7599,6.5457,6.6486,26535997,0
2002-04-04,6.6796,6.6796,6.5757,6.6033,29788574,0
2002-04-05,6.6033,6.6486,6.4803,6.5032,23503144,0
2002-04-08,6.4608,6.66,6.3542,6.5528,34928935,0
2002-04-09,6.8513,6.8513,6.6291,6.6639,53511425,0
2002-04-10,6.7713,6.7942,5.9527,6.7824,38030759,0
2002-04-11,6.7371,6.8823,6.7019,6.8513,41627662,0
2002-04-12,6.8782,6.8823,6.7942,6.8136,24347242,0
2002-04-15,6.8513,6.8823,6.7784,6.8437,22401448,0
2002-04-16,6.8862,7.1236,6.8705,7.1201,24156269,0
2002-04-17,7.1382,7.1961,7.0661,7.1382,21253775,0
2002-04-18,7.0425,7.1423,6.9284,6.9661,39957225,0
2002-04-19,7.1463,7.158,7.0699,7.1543,25891761,0
2002-04-22,7.1,7.1,6.9391,6.9937,19432859,0
2002-04-23,6.9937,7.0581,6.8136,6.9056,39929539,0
2002-04-24,6.7942,6.9056,6.5495,6.5876,36805232,0
2002-04-25,6.442,6.6952,6.438,6.6523,47925891,0
2002-04-26,6.6523,6.698,6.4879,6.4917,28956487,0
2002-04-29,6.4266,6.5718,6.339,6.4957,21181151,0
2002-04-30,6.438,6.6796,6.4309,6.5457,32186070,0
2002-05-01,6.4879,6.5262,6.2235,6.4537,50970766,0
2002-05-02,6.5032,6.6796,6.4843,6.5413,40486782,0
2002-05-03,6.5413,6.6914,6.5262,6.6756,51221306,0
2002-05-06,6.6756,7.0425,6.6639,6.9739,50395488,0
2002-05-07,7.2157,7.2724,7.0242,7.0463,72201289,0
2002-05-08,7.2724,7.6548,7.2534,7.6548,64650101,0
2002-05-09,7.6548,7.7129,7.5596,7.6587,55256843,0
2002-05-10,7.6548,7.6587,7.2724,7.372,37370846,0
2002-05-13,7.5524,7.6863,7.372,7.6469,44432972,0
2002-05-14,7.8239,7.8972,7.7701,7.8468,45344993,0
2002-05-15,7.5215,7.5596,7.3109,7.4067,58473626,0
2002-05-16,7.1767,7.567,7.1729,7.5025,35599043,0
2002-05-17,7.4642,7.6291,7.43,7.5329,31677673,0
2002-05-20,7.4067,7.5367,7.3758,7.4601,26213616,0
2002-05-21,7.4642,7.5367,7.2572,7.2724,23500011,0
2002-05-22,7.2338,7.3877,7.2195,7.3648,23450889,0
2002-05-23,7.349,7.4224,7.231,7.3877,28352218,0
2002-05-24,7.4224,7.4445,7.1543,7.1543,21400859,0
2002-05-28,7.2649,7.2884,7.0857,7.158,21567538,0
2002-05-29,7.158,7.1961,7.1081,7.1081,18277606,0
2002-05-30,7.0817,7.3568,7.0699,7.349,29439801,0
2002-05-31,7.33,7.3839,7.2805,7.3072,29416027,0
2002-06-03,7.319,7.3453,7.1925,7.2157,27075744,0
2002-06-04,7.15,7.3109,7.1463,7.2609,30231651,0
2002-06-05,7.2649,7.2649,6.9858,7.1925,25546645,0
2002-06-06,7.0314,7.4224,6.9858,7.0242,24842051,0
2002-06-07,6.8899,7.1807,6.8673,7.1543,35052770,0
2002-06-10,7.0817,7.2534,6.97,7.0014,17785938,0
2002-06-11,7.1543,7.158,7.0014,7.0242,21945568,0
2002-06-12,6.9096,6.9661,6.79,6.8743,22543050,0
2002-06-13,6.8018,6.8513,6.668,6.698,19346131,0
2002-06-14,6.6217,6.7099,6.5076,6.6408,25935131,0
2002-06-17,6.718,6.8673,6.5955,6.79,17721149,0
2002-06-18,6.7862,6.8823,6.66,6.8401,18067567,0
2002-06-19,6.718,6.7332,6.4499,6.4879,24780134,0
2002-06-20,6.4689,6.5302,6.297,6.3733,17853600,0
2002-06-21,6.2389,6.4996,6.2205,6.3008,28798950,0
2002-06-24,6.1247,6.2271,5.9327,6.0864,32036103,0
2002-06-25,6.1247,6.1589,5.6112,5.7383,34683618,0
2002-06-26,5.3588,5.7421,5.3588,5.6731,38356019,0
2002-06-27,5.7304,5.8107,5.5888,5.8107,34670297,0
2002-06-28,5.6731,5.8527,5.6693,5.8489,37503819,0
2002-07-01,5.8371,5.9213,5.7345,5.7798,24873921,0
2002-07-02,5.8184,5.8184,5.5042,5.596,30185672,0
2002-07-03,5.5122,5.8793,5.4923,5.8259,24059869,0
2002-07-05,6.0284,6.2776,5.9904,6.2389,19403345,0
2002-07-08,6.1742,6.2389,6.0366,6.1322,32562792,0
2002-07-09,6.067,6.2389,6.0366,6.0556,23573683,0
2002-07-10,6.1045,6.1045,5.8219,5.8371,23099764,0
2002-07-11,5.7028,5.8756,5.6,5.8299,29236814,0
2002-07-12,5.7798,5.8947,5.6579,5.8446,21053658,0
2002-07-15,5.6462,5.7421,5.3204,5.7421,36508202,0
2002-07-16,5.7383,5.8065,5.4359,5.4583,33379196,0
2002-07-17,5.6075,5.6842,5.1791,5.194,36572462,0
2002-07-18,5.1906,5.355,4.9755,5.1099,28136678,0
2002-07-19,4.8615,4.9755,4.8041,4.8993,32883602,0
2002-07-22,4.8226,5.0102,4.4783,4.5935,38075435,0
2002-07-23,4.4021,4.6886,4.3101,4.4097,39726539,0
2002-07-24,4.1148,4.6054,4.1148,4.5935,50408292,0
2002-07-25,4.5935,4.5935,4.3371,4.5168,33140410,0
2002-07-26,4.3629,4.6202,4.2868,4.4631,36417018,0
2002-07-29,4.5739,5.0297,4.5739,4.9687,29588974,0
2002-07-30,4.9687,5.4127,4.9068,5.3051,38211033,0
2002-07-31,5.2635,5.4161,5.014,5.4161,31916455,0
2002-08-01,5.3204,5.4127,5.1369,5.2403,36137217,0
2002-08-02,5.0526,5.1678,4.7887,4.8993,28136946,0
2002-08-05,4.8993,4.9031,4.5553,4.6316,28294477,0
2002-08-06,4.6353,4.9725,4.6316,4.8419,19729380,0
2002-08-07,5.0335,5.0793,4.6697,4.9454,27232498,0
2002-08-08,4.9953,5.217,4.8041,5.1865,27268547,0
2002-08-09,5.0335,5.164,4.9725,5.1331,16543429,0
2002-08-12,5.1331,5.1331,4.9953,5.0945,14891541,0
2002-08-13,5.0335,5.4161,5.0026,5.06,19974171,0
2002-08-14,5.1099,5.6266,5.0719,5.6,21112962,0
2002-08-15,5.7304,5.8371,5.5503,5.7421,30134991,0
2002-08-16,5.7421,5.8908,5.6112,5.7644,19910950,0
2002-08-19,5.6731,5.8947,5.6462,5.7421,23166395,0
2002-08-20,5.7383,5.7383,5.4923,5.5542,19531874,0
2002-08-21,5.6266,5.699,5.4083,5.6266,19426066,0
2002-08-22,5.7345,5.8947,5.6462,5.8564,20952560,0
2002-08-23,5.7421,5.7565,5.5002,5.6266,18570733,0
2002-08-26,5.7028,5.7421,5.516,5.6842,16835248,0
2002-08-27,5.5888,5.6802,5.3402,5.4394,21744925,0
2002-08-28,5.4545,5.5846,5.2856,5.4622,28664147,0
2002-08-29,5.1678,5.4161,5.1678,5.2932,29110102,0
2002-08-30,5.2058,5.2635,5.1099,5.1406,26999460,0
2002-09-03,4.9834,4.9874,4.7849,4.8041,24350903,0
2002-09-04,4.8993,5.0372,4.7849,5.0064,26931539,0
2002-09-05,4.8226,5.0335,4.8226,4.9183,17790381,0
2002-09-06,5.0719,5.3239,5.06,5.1678,25198658,0
2002-09-09,5.0415,5.3204,5.0064,5.1678,18357815,0
2002-09-10,5.2058,5.4359,5.194,5.4197,21467218,0
2002-09-11,5.5888,5.6,5.4545,5.496,16168528,0
2002-09-12,5.397,5.4007,5.194,5.2058,19458465,0
2002-09-13,5.1678,5.3204,5.1291,5.1678,16419071,0
2002-09-16,5.1255,5.2321,5.0565,5.2245,21994421,0
2002-09-17,5.3784,5.3784,5.0907,5.1099,16100345,0
2002-09-18,4.9755,5.1753,4.9454,5.1255,17518936,0
2002-09-19,4.8993,5.0026,4.8076,4.9183,21711226,0
2002-09-20,4.9183,4.9725,4.7769,4.9534,44838696,0
2002-09-23,4.7849,5.0064,4.7654,4.9303,23829444,0
2002-09-24,4.7082,4.8155,4.651,4.7047,26857605,0
2002-09-25,4.6119,4.9534,4.5935,4.9145,31717905,0
2002-09-26,4.9378,4.9378,4.563,4.6202,33928351,0
2002-09-27,4.5782,4.854,4.5782,4.6054,18978285,0
2002-09-30,4.5659,4.6202,4.3669,4.4668,24810178,0
2002-10-01,4.4783,4.8805,4.4326,4.7579,24315379,0
2002-10-02,4.7579,4.8041,4.3062,4.5553,21124980,0
2002-10-03,4.5935,4.7769,4.5591,4.5818,19347952,0
2002-10-04,4.6054,4.6812,4.3181,4.3829,26121656,0
2002-10-07,4.4977,4.5168,4.3254,4.4211,22821275,0
2002-10-08,4.4783,4.5325,4.2644,4.4172,27348491,0
2002-10-09,4.2373,4.3214,4.1801,4.272,35196192,0
2002-10-10,4.272,4.563,4.2644,4.5207,34835149,0
2002-10-11,4.5935,4.6697,4.4859,4.6008,32973214,0
2002-10-14,4.4783,4.7047,4.4668,4.6767,17941385,0
2002-10-15,4.9687,5.1827,4.8226,5.1678,43032406,0
2002-10-16,5.0907,5.0907,4.8653,4.9534,22051373,0
2002-10-17,5.1678,5.1678,4.8993,4.9755,26343200,0
2002-10-18,4.8226,5.0102,4.8076,5.0102,23885091,0
2002-10-21,4.9755,5.397,4.8769,5.3512,22345800,0
2002-10-22,5.3512,5.3512,5.1753,5.3127,22527107,0
2002-10-23,5.3088,5.5079,5.2058,5.5079,22207080,0
2002-10-24,5.4702,5.5388,5.2094,5.2826,21773399,0
2002-10-25,5.3204,5.6,5.3088,5.596,19578116,0
2002-10-28,5.8947,6.1206,5.8144,5.8446,53957378,0
2002-10-29,5.9137,5.9137,5.6422,5.7421,29234717,0
2002-10-30,5.7798,6.0974,5.7028,5.9904,32955187,0
2002-10-31,5.979,6.3151,5.9708,6.048,42127961,0
2002-11-01,5.9708,6.3008,5.9213,6.2428,27184423,0
2002-11-04,6.5457,6.8976,6.4537,6.7748,54607633,0
2002-11-05,6.66,6.6952,6.3923,6.5605,43130110,0
2002-11-06,6.6562,6.7138,6.4499,6.7019,35101359,0
2002-11-07,6.5642,6.6952,6.3509,6.3998,30579899,0
2002-11-08,6.3923,6.5076,6.2737,6.3846,30898096,0
2002-11-11,6.0284,6.1165,5.5309,5.6842,98344883,0
2002-11-12,5.7565,6.0017,5.7498,5.9327,56165989,0
2002-11-13,5.9137,6.3151,5.8756,6.1662,45363283,0
2002-11-14,6.2589,6.5147,6.2389,6.4689,38617795,0
2002-11-15,6.4689,6.5955,6.327,6.4689,38643914,0
2002-11-18,6.5076,6.66,6.3923,6.4537,26443255,0
2002-11-19,6.297,6.6147,6.2856,6.3351,19375912,0
2002-11-20,6.2657,6.6217,6.2389,6.4499,54761772,0
2002-11-21,7.0123,7.4563,7.0123,7.2687,139862830,0
2002-11-22,7.1201,7.33,7.1201,7.33,46757838,0
2002-11-25,7.3266,7.4368,7.1767,7.3839,34128465,0
2002-11-26,7.3109,7.372,7.1767,7.1767,50356301,0
2002-11-27,7.2724,7.5444,7.1767,7.4987,42469670,0
2002-11-29,7.4829,7.5944,7.43,7.4563,15164290,0
2002-12-02,7.6469,7.9044,7.349,7.5905,45665288,0
2002-12-03,7.5787,7.5787,7.2925,7.3609,30520330,0
2002-12-04,6.9471,7.1729,6.8437,7.0314,47419582,0
2002-12-05,7.0621,7.1281,6.97,6.9899,18921592,0
2002-12-06,6.859,7.3109,6.8136,7.2079,28487023,0
2002-12-09,6.8285,7.1,6.8285,6.9013,21598365,0
2002-12-10,6.9858,7.1961,6.8899,7.15,20714817,0
2002-12-11,6.9739,7.0781,6.9096,6.9779,29595247,0
2002-12-12,7.0425,7.2884,7.0051,7.1807,27377755,0
2002-12-13,7.1201,7.1925,6.9858,7.1119,21001671,0
2002-12-16,7.2378,7.2724,7.1382,7.2534,23279252,0
2002-12-17,7.2925,7.4829,7.2534,7.2687,40080015,0
2002-12-18,7.2687,7.2687,7.0314,7.2157,35455884,0
2002-12-19,7.1382,7.33,7.1281,7.2534,30349996,0
2002-12-20,7.2724,7.2766,7.15,7.2378,48155272,0
2002-12-23,7.158,7.2844,7.1344,7.15,27357377,0
2002-12-24,7.1201,7.1729,7.0167,7.05,10320441,0
2002-12-26,7.0242,7.1767,6.9284,7.0014,15571841,0
2002-12-27,6.9358,7.0581,6.7942,6.8673,15061616,0
2002-12-30,6.7562,6.7713,6.5718,6.6756,26282851,0
2002-12-31,6.6109,6.6914,6.5757,6.6451,16769937,0
2003-01-02,6.7481,7.1,6.7295,6.9661,27318964,0
2003-01-03,7.0242,7.1767,6.9899,7.1081,16101654,0
2003-01-06,7.2534,7.6251,7.2378,7.5215,30980399,0
2003-01-07,7.5291,7.7282,7.5101,7.6364,40666774,0
2003-01-08,7.6327,7.7628,7.4642,7.4642,40296592,0
2003-01-09,7.5444,7.9079,7.5404,7.8391,45524475,0
2003-01-10,7.7512,8.0686,7.6548,7.9807,44024376,0
2003-01-13,7.9807,8.1145,7.7742,7.7931,41448441,0
2003-01-14,7.7512,7.9115,7.7129,7.8854,26188017,0
2003-01-15,7.8854,7.8854,7.6749,7.7512,19513850,0
2003-01-16,7.7321,7.8125,7.6364,7.6511,19742183,0
2003-01-17,7.3453,7.5524,7.2453,7.3609,27625680,0
2003-01-21,7.2534,7.4642,7.1961,7.2453,20303084,0
2003-01-22,7.2493,7.4642,7.1961,7.2534,23303288,0
2003-01-23,7.33,7.6327,7.3266,7.5025,21025970,0
2003-01-24,7.5787,7.5787,7.1162,7.1767,28506613,0
2003-01-27,7.0817,7.2378,6.9096,7.0314,28760546,0
2003-01-28,7.1,7.2649,6.9435,7.1881,20925908,0
2003-01-29,7.1843,7.4028,6.9551,7.3839,26127408,0
2003-01-30,7.3529,7.372,6.8705,6.9661,26947212,0
2003-01-31,6.6914,6.6914,6.4194,6.6639,69413486,0
2003-02-03,6.6756,6.8513,6.66,6.6914,31303821,0
2003-02-04,6.5262,6.7062,6.4608,6.698,35002876,0
2003-02-05,6.698,6.7371,6.5227,6.5495,28915735,0
2003-02-06,6.5528,6.5994,6.4499,6.5186,17105380,0
2003-02-07,6.5186,6.5642,6.2165,6.308,31218396,0
2003-02-10,6.2389,6.3846,6.1437,6.3694,25868501,0
2003-02-11,6.4575,6.6217,6.3426,6.4499,25014482,0
2003-02-12,6.4537,6.538,6.3575,6.3615,22220141,0
2003-02-13,6.3652,6.5955,6.3652,6.4879,22401186,0
2003-02-14,6.6033,6.8705,6.6033,6.8099,36022014,0
2003-02-18,6.8553,7.0817,6.8324,7.0581,22161890,0
2003-02-19,6.9779,7.0242,6.7251,6.8179,22658008,0
2003-02-20,6.9096,6.9133,6.79,6.8401,19128245,0
2003-02-21,6.8899,7.0581,6.8179,6.9551,20141893,0
2003-02-24,6.9551,7.0051,6.7784,6.7942,21969607,0
2003-02-25,6.7942,6.9661,6.6073,6.9586,29375538,0
2003-02-26,6.4689,6.4957,5.8107,5.8836,145229958,0
2003-02-27,5.9288,6.067,5.699,5.9488,72718046,0
2003-02-28,5.9488,6.136,5.9488,6.067,30664019,0
2003-03-03,6.1624,6.2013,6.0284,6.0709,24450704,0
2003-03-04,6.1165,6.1165,5.9488,5.9488,22887117,0
2003-03-05,5.9488,5.9708,5.7988,5.9561,26869092,0
2003-03-06,5.8647,5.9827,5.8065,5.9527,24803125,0
2003-03-07,5.7988,6.0709,5.7875,6.048,28128583,0
2003-03-10,5.8947,5.979,5.8446,5.9288,19705349,0
2003-03-11,5.8947,5.9984,5.8836,5.8984,16951502,0
2003-03-12,5.8947,6.0017,5.8564,5.9597,21954977,0
2003-03-13,6.0094,6.0094,5.4279,5.7421,104876421,0
2003-03-14,5.8793,6.0745,5.7988,5.9945,43226772,0
2003-03-17,5.9327,6.3542,5.9327,6.2776,37662918,0
2003-03-18,6.339,6.4309,6.2622,6.408,23338554,0
2003-03-19,6.408,6.5642,6.3542,6.4917,31392910,0
2003-03-20,6.4917,6.6372,6.3962,6.5718,24783532,0
2003-03-21,6.8136,6.8136,6.6147,6.7019,34665071,0
2003-03-24,6.5994,6.5994,6.2589,6.3351,25332939,0
2003-03-25,6.2507,6.3923,6.0635,6.319,44155784,0
2003-03-26,6.319,6.3885,6.2352,6.347,24718217,0
2003-03-27,6.2389,6.4113,6.2013,6.2927,25026761,0
2003-03-28,6.1893,6.327,6.1893,6.2205,18593199,0
2003-03-31,6.0284,6.446,5.9327,5.9527,35516225,0
2003-04-01,6.0094,6.0823,5.9252,5.979,22578838,0
2003-04-02,6.0556,6.1856,6.0556,6.1206,33078501,0
2003-04-03,6.2013,6.3351,6.1475,6.2622,22065222,0
2003-04-04,6.3509,6.3615,6.1856,6.2428,29132571,0
2003-04-07,6.3998,6.4843,6.1932,6.2051,26216232,0
2003-04-08,6.1247,6.1662,5.9708,6.0284,27107099,0
2003-04-09,6.0284,6.0322,5.8527,5.8793,31854798,0
2003-04-10,5.8793,6.0094,5.8332,5.9597,22926044,0
2003-04-11,6.1045,6.1247,5.8184,5.8564,32106122,0
2003-04-14,5.8564,6.0934,5.8564,6.0823,21066465,0
2003-04-15,5.8408,5.9945,5.8408,5.9597,35234600,0
2003-04-16,5.937,6.1285,5.9252,5.9675,32301537,0
2003-04-17,5.9561,6.0094,5.8184,5.8564,41298225,0
2003-04-21,5.8947,5.9288,5.8371,5.8947,21837150,0
2019-09-29,8000.0,12000.0,0.0,12228.8,32,0
2019-09-28,8000.0,8240.0,0.0,8397.08,32,0
2019-09-30,8000.0,8400.0,0.0,8816.93,32,0
2019-09-30,165.0,169.95000000000002,0.0,178.468,40,0
2019-10-02,8000.0,12000.0,0.0,8917.23,32,0
2019-10-03,8000.0,0.0,12800.0,8774.55,32,0
2019-09-29,8000.0,12000.0,0.0,12228.8,32,0
2019-09-28,8000.0,8240.0,0.0,8397.08,32,0
2019-09-30,8000.0,8400.0,0.0,8816.93,32,0
2019-09-30,165.0,169.95000000000002,0.0,178.468,40,0
2019-10-02,8000.0,12000.0,0.0,8917.23,32,0
2019-10-03,8000.0,0.0,12800.0,8774.55,32,0
2019-09-29,8000.0,12000.0,0.0,12228.8,32,0
2019-09-28,8000.0,8240.0,0.0,8397.08,32,0
2019-09-30,8000.0,8400.0,0.0,8816.93,32,0,
2019-09-30,165.0,169.95000000000002,0.0,178.468,40,0
2019-10-02,8000.0,12000.0,0.0,8917.23,32,0
2019-10-03,8000.0,0.0,12800.0,8774.55,32,0
